,id,text,textEN,polarity,subjectivity
0,1183044906656419840,"Série: Mr Robot, disponível na Amazon Prime","Series: MR Robot, available at Amazon Prime",0.4,0.4
1,1428141651688558596,"@tonindachapada Estou assistindo um que se chama negra como q noite da Amazon prime. Lê a sinopse e se gostar assiste, estou gostando.","@Tonindachapada I'm watching one called black as the night of Amazon Prime.Read the synopsis and if you like watch, I'm liking it.",-0.16666666666666666,0.43333333333333335
2,1183044906656419840,"Série Mr Robot, disponível na Amazon Prime","MR Robot series, available at Amazon Prime",0.4,0.4
3,1253584273740902402,"Jeff bezos é podre de rico e não investe  1 centavo pra organizar essa página inicial do Amazon prime, é mil título… https://t.co/xeYcX7fFLy","Jeff Bezos is rotten of rich and does not invest 1 cent to organize this home page of Amazon Prime, it's a thousand title ... https://t.co/xeycx7ffly",0.375,0.75
4,15454050,"@douglasferraz Agora, eu tiro Prime Video dessas análises. Na prática, a plataforma é um bônus/isca pro Amazon Prim… https://t.co/XIIgyDmEEj","@douglasferrraz now, I shoot prime video of these analyzes.In practice, the platform is a bonus / bait pro Amazon Prim ... https://t.co/xiigydmeej",0.0,0.0
5,3127260343,"agr eu to tipo ""??? sera se eu vou??"" pq tem na amazon prime... soo","agr I like ""??? will be if I go ??""pq has in the prime amazon ... soo",0.0,0.0
6,1183044906656419840,"Série Mr. Robot, disponível na Amazon Prime","MR. Series. Robot, available at Amazon Prime",0.4,0.4
7,1183044906656419840,"Série Mr. Robot, disponível no Amazon Prime","MR Series. Robot, available at Amazon Prime",0.4,0.4
8,24987280,@thiagofbe Tem no Amazon Prime e Globoplay,@thiagofbe has at Amazon Prime and Globlay,0.0,0.0
9,3420032697,O Eu Sei O Que Vocês Fizeram No Verão Passado da Amazon Prime Video é uma das piores séries do ano,I know what you did last summer from Amazon Prime Video is one of the worst series of the year,-0.5,0.5333333333333333
10,14500217,'A Roda do Tempo': Vídeo promocional explora a jornada da Moiraine na ambiciosa série da Amazon Prime; Confira! -… https://t.co/1zm0F2USY1,'The Time Wheel': Promotional video explores the Moiraine journey in the ambitious Amazon Prime series;Check out!- ... https://t.co/1zm0f2usy1,0.3125,0.75
11,1201323447189737472,Eu e Thayla estamos vendo séries na Amazon Prime e dividindo o pacote de Chocolícia 🎥📺👩‍❤️‍💋‍👨🍪,Me and Thayla we are seeing series in Amazon Prime and dividing the package of Chocolifici 🎥📺👩🎥📺👩️💋👨🍪,0.0,0.0
12,1271313407946289152,"@globoplay amados, aproveitem que a amazon prime vai tirar a melhor série, vulgo hawaii 5-0, do catálogo e bota no… https://t.co/TWUxV8xMk3","@GloboPlay beloved, take advantage that Amazon Prime will take the best series, hawaii 5-0 vulgo, catalog and boot in ... https://t.co/twuxv8xmk3",0.85,0.65
13,1145579258879840256,tô entre Amazon Prime e HBO Max hm,Tô between Amazon Prime and HBO Max HM,0.0,0.0
14,30488590,"A versão série de ""Eu sei o que vocês fizeram no verão passado"" (Amazon Prime) é bem legal, tem droga, tem gay, tem… https://t.co/usb2dKWw1e","The series version of ""I know what you did last summer"" (Amazon Prime) is very cool, has drugs, has gay, has ... https://t.co/usb2dkwww1e",0.2905555555555555,0.49833333333333335
15,24061062,amazon prime foi um dos primeiros streamings lançados pós netflix e ate hoje eles oferecem a pior e mais fétida exp… https://t.co/tcIr2sMxF9,Amazon Prime was one of the first streamings released post Netflix and until today they offer the worst and fetid exp ... https://t.co/tcir2smxf9,-0.375,0.6666666666666666
16,60616416,Encontrei um série nova pra assistir na Amazon prime,I found a new series to watch at Amazon Prime,0.13636363636363635,0.45454545454545453
17,43755903,O filme do Porta dos Fundos que saiu na Amazon Prime é muito bom HDUASHUDAHSU,The back door movie that came out at Amazon Prime is very good Hdashudahsu,0.45499999999999996,0.39000000000000007
18,15061151,"Estou assistindo o novo twilight zone da Amazon prime e apesar de ser bem produzido, sinto falta do original, era c… https://t.co/7QvCYIeydm","I am watching the new Twilight Zone of Amazon Prime and despite being well produced, I miss the original, it was c ... https://t.co/7qvcyieydm",0.2556818181818182,0.6022727272727273
19,55887107,@PrimeVideoBR Obrigado dona Amazon Prime,@Primevideobr Thank you Dona Amazon Prime,0.0,0.0
20,4065095560,A usabilidade do THE PIRATE BAY era melhor que a da Amazon Prime https://t.co/abXUiSak8V,The usability of The Pirate Bay was better than the Amazon Prime https://t.co/Abxuisak8v,0.5,0.5
21,554182536,5 filmes baseados em fatos reais para assistir no Prime Video https://t.co/X0h4NttbVW,5 films based on real facts to watch on prime video https://t.co/x0h4ntttbvw,0.2,0.30000000000000004
22,387965345,"@StephenKing_BR É possível sim. Se você for cliente Prime, a Amazon tem um programa pra otimizar o tempo de entrega… https://t.co/I0Qvf2UW4c","@Stephenking_BR You can yes.If you are Client Prime, Amazon has a program to optimize the delivery time ... https://t.co/i0qvf2uw4c",0.0,0.0
23,1559392904,O dono da Amazon tem tanto dinheiro e não manda arrumar a interface da prime mano https://t.co/cEqFCeE0lw,The owner of the amazon has so much money and does not send the prime interface of https://t.co/ceqfcee0lw,0.2,0.2
24,1018616167349485568,"achei literalmente todos os filmes da lista na amazon, mas nenhum tá disponível no prime 🤡🤡","I lit it literally all the movies on Amazon, but none is available in Prime 🤡🤡",0.4,0.4
25,737534548452376576,A @philco_brasil vende tv com aplicativos limitados como acuweather (qm precisa disso numa tv?) e ñ existe nenhuma… https://t.co/dEe719DR24,@Philco_brasil sells tv with unlimited applications like AccuWeather (who needs this on a TV?) And there is no ... https://t.co/dee719dr24,0.0,0.0
26,266183661,"A Globo aprovou diversas cenas gays seguindo a estratégia de Netflix, HBO, Amazon Prime... #VerdadesSecretas2","Globo approved several gay scenes following the strategy of Netflix, HBO, Amazon Prime ... # TruthSecretas2",0.1388888888888889,0.22777777777777777
27,1870417843,Quem tem Amazon prime corram agora pra assistir https://t.co/cli1k3SrjP,Who has amazon prime run now to watch https://t.co/cli1k3srjp,0.0,0.0
28,105538252,"Coldplay AO VIVO no Prime Video, da Amazon, e no https://t.co/UjyoPT0CKI. Vem!!! https://t.co/MTzIwWp4Ul","Coldplay live on prime video, Amazon, and https://t.co/ujyopt0cki.He comes!!!https://t.co/mtziwwp4ul",0.13636363636363635,0.5
29,1183044906656419840,"Filme Bravestorm, disponível na Amazon Prime.","Movie Brestorm, available at Amazon Prime.",0.4,0.4
30,1183044906656419840,"Por trás de tudo isso, estão eles, os anjos caídos, mais conhecidos como demônios!👹🤖👹🤖

Filme: Bravestorm, no Amazo… https://t.co/E1Zzj8kz39","Behind all this, they are, the fallen angels, best known as demons! 👹🤖👹🤖

Movie: Brestorm, in the Amazo ... https://t.co/e1zzj8kz39",0.3,0.5
31,1183044906656419840,"Filme: Bravestorm - A Batalha, disponível na Amazon Prime","Film: Brestorm - battle, available at Amazon Prime",0.4,0.4
32,33918234,Madres (2021): Um dos filmes da Welcome to Blumhouse disponibilizados este mês no Amazon Prime. Tem vários componen… https://t.co/VNrutqDCIA,Mothers (2021): One of the Welcome to Blumhouse films made available this month at Amazon Prime.It has several components ... https://t.co/vnrutqdcia,0.4000000000000001,0.43333333333333335
33,131059506,"@doring_fpv essas eram coisas q não tem na Amazon! 

Mas eu tenho o Prime e – de caixa de cotonetes em caixa de cot… https://t.co/fdNwI6Fm9d","@Doring_FPV These were things that do not have in Amazon!
But I have the prime e - bonet box in Cot box ... https://t.co/fdnwi6fm9d",0.0,0.0
34,211715438,Amazon Prime Video estreia reality com grupo de amigas lésbicas https://t.co/mgdvKJnhXu,Amazon prime video premiere reality with group of lesbian friends https://t.co/mgdvkjnhxu,0.0,0.0
35,97077598,Amazon Prime Video estreia reality com grupo de amigas lésbicas https://t.co/ajQCuHApZz,Amazon prime video premiere reality with group of lesbian friends https://t.co/ajqcuhapzzz,0.0,0.0
36,951496294278844416,"E estamos online com uma pequena tentativa de voltar a jogar Dead by Daylight em live, sextou! Assina o amazon prim… https://t.co/eyMakHcsqm","And we are online with a small attempt to play Dead By Daylight in Live, Sexto!Sign the Amazon Prim ... https://t.co/eymakhcsqm",-0.10454545454545455,0.43333333333333335
37,1116397437529350144,"E estamos online com uma pequena tentativa de voltar a jogar Dead by Daylight em live, sextou! Assina o amazon prim… https://t.co/JX0RwfQTRo","And we are online with a small attempt to play Dead By Daylight in Live, Sexto!Sign the Amazon Prim ... https://t.co/jx0rwft",-0.10454545454545455,0.43333333333333335
38,64785602,"E estamos online com uma pequena tentativa de voltar a jogar Dead by Daylight em live, sextou! Assina o amazon prim… https://t.co/1Y9Rm0cSu0","And we are online with a small attempt to play Dead By Daylight in Live, Sexto!Sign the Amazon Prim ... https://t.co/1y9rm0csu0",-0.10454545454545455,0.43333333333333335
39,1422000872704421890,sinto que como assino o prime preciso comprar coisa da Amazon todo dia pra aproveitar o frete grátis tipo tem como… https://t.co/B5YFXsQdm7,I feel like I sign the prime I need to buy Amazon thing every day to enjoy the free shipping type has as ... https://t.co/b5yfxsqdm7,0.4,0.65
40,36228975,"Podcast Guia de Terror - Episódio #2 Podcast Guia de Terror – Episódio #2 Saudações, fãs do Terror! Neste episódio,… https://t.co/5Qq60JbMcK","Podcast Horror Guide - Episode # 2 Podcast Horror Guide - Episode # 2 Greetings, Terror fans!In this episode, ... https://t.co/5qq60jbmck",0.0,0.0
41,1056288314154762240,“Peçanha Contra o Animal” | Filme do Porta dos Fundo estreia nesta sexta na Amazon Prime Video https://t.co/FM1HaGsRgG,"""Party against the animal"" |Background door film debut on this Friday at Amazon Prime video https://t.co/fm1hagsrgg",0.0,0.0
42,244084389,Aproveitar a folga pra ver Werewolves Within da @UbisoftBrasil la no Amazon Prime! Filme baseado no jogo com mesmo… https://t.co/Pgi8arpy8H,Take advantage of the slack to see Werewolves Within from @ubisoftbrasil la no Amazon Prime!Movie based on the game with same ... https://t.co/pgi8arpy8h,-0.2,0.2625
